Date,00:00-00:15,00:15-00:30,00:30-00:45,00:45-01:00,01:00-01:15,01:15-01:30,01:30-01:45,01:45-02:00,02:00-02:15,02:15-02:30,02:30-02:45,02:45-03:00,03:00-03:15,03:15-03:30,03:30-03:45,03:45-04:00,04:00-04:15,04:15-04:30,04:30-04:45,04:45-05:00,05:00-05:15,05:15-05:30,05:30-05:45,05:45-06:00,06:00-06:15,06:15-06:30,06:30-06:45,06:45-07:00,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15,09:15-09:30,09:30-09:45,09:45-10:00,10:00-10:15,10:15-10:30,10:30-10:45,10:45-11:00,11:00-11:15,11:15-11:30,11:30-11:45,11:45-12:00,12:00-12:15,12:15-12:30,12:30-12:45,12:45-13:00,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00,20:00-20:15,20:15-20:30,20:30-20:45,20:45-21:00,21:00-21:15,21:15-21:30,21:30-21:45,21:45-22:00,22:00-22:15,22:15-22:30,22:30-22:45,22:45-23:00,23:00-23:15,23:15-23:30,23:30-23:45,23:45-00:00,Baseload,Peakload
2025-10-01,102.6,92.24,86.03,85.39,89.99,86.03,85.03,84.09,85.41,85,84.54,84.54,87.39,87.36,88.56,89.99,86.31,89.06,86.42,88.83,84.26,90.76,97.55,108.74,97.03,117.49,133.23,152.09,160.95,181.48,180.23,170.54,200.25,143.35,117.5,95.25,139.48,105.01,93.66,82.85,103.22,93.06,81.21,66.65,83.5,72.08,65.32,61.37,68.21,65.22,65.45,65.22,65.6,67.72,69.44,70.84,64.49,70.25,74.63,81.14,65.3,74.63,88.02,98.94,62.15,89.53,103.08,116.72,85.49,115.87,144.98,195.26,146.95,200,285,381,408.5,376.39,321.94,253.14,218.02,155.25,126.82,108,130.68,121.4,102.98,97.08,108.84,101.51,95.36,88.33,94.57,91.55,91.11,85.36,116.57,125.93
2025-10-02,99.58,91.1,86.09,86.45,94.45,90.42,84.59,82.54,86.46,84.8,86.21,88.63,89.67,88.64,88.64,87.29,88.08,90.58,92.13,92.44,85.42,89.83,96.57,112.07,94.15,117.78,134.03,168.92,173.9,198.6,187.76,164.09,188.89,151.89,115.3,90.63,123.28,112.8,92.01,73.93,101.95,99.97,86.08,77.92,91.75,83.31,72.08,66,70.25,64.35,64.44,64.04,57.95,60.4,61.27,62.38,61.7,66.34,74.63,82.49,62.12,74.85,86.81,98.87,71.94,83.5,98.44,111.9,72.46,89.52,117.3,174,118.32,142.55,178.63,232.2,219.39,202.03,162.92,123.01,136.09,110.35,98.43,94.81,98.47,93.22,84.09,87.64,105.25,102.96,95.43,82.99,105.11,93.39,74.94,54.93,102.7,102.89
2025-10-03,97.06,89.29,82.88,74.5,87.06,81.97,74.88,64.65,82.76,67.27,69.18,67.79,62.05,77.79,79.88,75.91,71.57,72.33,79.85,81.4,68.79,73.87,82.29,86.97,88.68,91.07,105.53,89.84,96.31,104.01,96.87,104.48,123.03,114.24,102.97,74.48,108.53,95.45,77.56,54.07,90,64.15,45.12,40.72,46.91,42.89,40.51,31.7,32.47,27.25,24.62,21.07,18.31,14.24,14.68,18.78,10.53,23.71,30.63,39.94,32.77,40,58.96,67.8,39.55,48.74,74.28,91,49.89,78.49,102.6,128.62,113.32,118.26,128.5,122.96,124.22,114.99,99.91,96.92,106.78,81.91,56.68,54.79,72.48,47.23,37.59,16.47,37.77,21.34,21.84,20.66,24.58,9.77,7.49,2.59,66.76,65.84
2025-10-04,2.93,0.1,-0.05,-0.08,0,-0.01,-0.01,-0.02,-0.01,-0.01,-0.04,-0.11,-0.07,-0.09,-0.1,-0.13,-0.93,-0.97,-1.03,-1.58,-1.52,-2.02,-2.02,-2.06,-2.15,-2.02,-1.48,-2.01,-0.25,-0.81,-1,-1.04,-0.7,-0.09,-0.08,-0.33,-0.1,-0.43,-0.05,-0.07,-0.01,-0.1,-0.14,-0.11,-0.01,-0.26,-0.08,-0.04,-0.19,-0.06,-0.03,-0.04,-0.24,-0.23,-0.4,-0.89,-0.13,-1.02,-2.02,-5.01,-1.82,-5.02,-2.51,-1.07,-0.25,-0.01,-0.04,-0.08,-1.08,-0.01,0,0.72,-0.03,0,2.2,2.25,2.44,2.74,4.02,3.72,1.3,0,0,-0.01,0.1,0,-0.01,-0.47,-0.06,-0.08,-0.01,-0.06,-0.01,-0.03,-0.08,-1.25,-0.29,-0.14
2025-10-05,-0.07,-0.26,-1.45,-1.21,-1.09,-2.01,-1.48,-1.03,-4.2,-4.19,-4.18,-4.19,-4.2,-4.11,-4.11,-5.09,-4.82,-5.03,-5.05,-5.02,-4.99,-4.82,-4.01,-4.01,-4.11,-4.05,-3.8,-3.08,-2.02,-1.78,-1.42,-0.8,-0.1,-0.09,-0.05,-0.11,-0.01,-0.08,-2.01,-3.47,-1.48,-2.9,-4.06,-4.88,-2.02,-2.02,-2.01,-2.02,-4.04,-3.04,-3.01,-3.57,-3.38,-3.54,-3.17,-3.46,-3.1,-3.02,-3.02,-2.63,-2.4,-2.13,-2.02,-3.02,-1.59,-1.02,-0.1,-0.04,-3.16,-0.06,0.1,6.53,5.37,11,19.91,28.05,21.25,26.69,42.84,49.41,34,24.58,13.66,7.08,7.84,5.15,4.75,4.17,5.75,4.86,5.96,4.24,4.88,4.1,3.96,3.36,1.73,2.69
2025-10-06,30.98,24.53,15.77,12.1,13.85,10.57,9.11,6.66,7,8.7,10.58,10.13,10.53,10.52,11.03,10.85,11.02,18.12,17.86,20.2,7.81,9.9,22.8,49.9,18.39,76.6,78.19,101.16,89.97,105.32,108.93,115.99,126.58,127.91,120.8,111.78,135.73,121.42,119.6,107.72,114.69,104.8,95.23,87.39,98.55,92.75,84.89,81.02,82.57,86.67,86.12,93.94,84.06,88.05,83.88,82.4,82.78,89.59,100.96,95.98,89.47,92.03,95.69,101,86.45,97.87,110.69,124.08,93.91,112.95,121.84,152.46,109.36,118.41,147.8,190.78,168.9,175.37,169,159.99,156.93,131.1,125.87,120.81,128,123.93,115.65,113.23,135.26,114.58,115.2,109.62,112.33,105.04,103.67,100.96,86.18,110.54
2025-10-07,105.51,102.6,99.05,93.89,100,94.82,92.68,88.45,91.23,89.36,89.45,89.23,88.66,88.59,89.47,91.48,86.92,88.8,95.03,101.15,86.94,93.11,99.05,107.86,106.77,125.07,141.18,166.52,148.03,207.93,270.09,288.17,307.91,300.04,288.15,254.58,293.61,249.64,167.9,137.58,197.38,164.08,138.01,119.17,153.65,135.82,118.81,111.35,123.01,109.38,105.91,105.46,112.23,105.73,104.76,102.01,103.08,104.76,105.91,107.66,101.2,105.68,116.17,129.59,103.91,110.59,127.15,146.77,115.04,128.99,155.82,207.51,147.29,154.33,220.61,287.44,253.39,221.51,197.41,180.81,178.46,158.89,131.01,117,147.22,129.01,112.79,103.95,116.35,111.87,106.1,95.37,107.82,98.43,93.57,90.11,137.96,159.14
2025-10-08,101.74,91.4,91.47,89.2,91.85,89.07,87.33,85.5,89.21,88.14,86.99,85.9,86.97,86.91,86.98,87.04,85.66,87.74,91.18,94.11,86.98,93.28,99.91,109.41,92.99,113.91,122.99,138.54,130.47,151.59,168.9,171.36,203.62,175.34,151.24,135.38,174.2,140.92,119.67,105.91,142.74,121.74,107.37,101.93,123.01,104.46,97.58,88.25,94.88,91.03,88.78,88.6,90.79,90.1,89.17,87.28,85.44,87.72,90,98.61,89.1,93.72,101.34,113.55,93.15,102.2,127.44,147.07,102.83,123.24,155.33,216.52,135.54,147.6,204.53,247.56,235.93,204.62,180.46,175,170.48,149.96,128.09,118.25,128.88,117.94,109.29,102.85,114.61,113.93,106.49,97.93,106.06,99.79,95.48,90,117.58,128.59
2025-10-09,109.22,100.01,90.88,88.75,91.7,93.33,92.32,92.98,96.05,92.32,92.28,92.4,93.36,89.9,89.97,90.04,86.94,89.03,92.49,102.34,87.41,91.81,104.3,121.09,102.35,121.42,132.35,146.2,125.35,146.35,156.11,152.19,172.25,152.98,143.8,130.57,166.46,134.41,122.99,106.09,131.55,113.86,102.3,91.04,106.52,102.13,91.64,87.56,100.33,92.2,87.93,83.63,89.01,88.22,84.65,71.53,77.77,83.77,84.15,87.11,79.61,84.13,89.22,102.35,87.51,88.37,92.11,100.31,87.53,110.57,112,129.94,115.48,124.26,126.56,125.33,125.71,126.43,122.58,117.73,119.72,114.76,110.14,104.83,107.15,101.69,96.39,87.14,113.22,95.43,90.93,87.75,98.98,90.55,87.65,77.62,104.91,106.96
2025-10-10,95.72,89.14,86.45,80.73,90.84,84.36,83.5,81.17,83.19,79.99,78.91,78.26,79.77,78.7,77.4,77.27,78.77,80.06,76.81,81.2,76.82,81.28,84.79,101.4,83.53,105.2,99.33,122.49,102.12,113.67,125.29,136.22,151.65,133.39,109.4,96.01,143.83,112.07,96.73,78.43,123,93.17,84.55,71.31,96.26,79.29,79.04,73.88,87.88,79.84,74.67,67.74,76.07,78.85,77.26,70.58,59.95,77.39,80.07,91.62,76.48,85.09,91.56,102.45,77.06,91.53,99.84,123,97.74,111.9,123.39,139.77,107.18,117.5,121.42,136.32,124.81,123.84,123.87,120.64,131.89,119.32,110,100.35,115.53,110.95,101.04,88.14,104.53,102.46,97.94,86.02,94.58,92.97,96.62,89.23,96.41,98.74
