Date,00:00-00:15,00:15-00:30,00:30-00:45,00:45-01:00,01:00-01:15,01:15-01:30,01:30-01:45,01:45-02:00,02:00-02:15,02:15-02:30,02:30-02:45,02:45-03:00,03:00-03:15,03:15-03:30,03:30-03:45,03:45-04:00,04:00-04:15,04:15-04:30,04:30-04:45,04:45-05:00,05:00-05:15,05:15-05:30,05:30-05:45,05:45-06:00,06:00-06:15,06:15-06:30,06:30-06:45,06:45-07:00,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15,09:15-09:30,09:30-09:45,09:45-10:00,10:00-10:15,10:15-10:30,10:30-10:45,10:45-11:00,11:00-11:15,11:15-11:30,11:30-11:45,11:45-12:00,12:00-12:15,12:15-12:30,12:30-12:45,12:45-13:00,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00,20:00-20:15,20:15-20:30,20:30-20:45,20:45-21:00,21:00-21:15,21:15-21:30,21:30-21:45,21:45-22:00,22:00-22:15,22:15-22:30,22:30-22:45,22:45-23:00,23:00-23:15,23:15-23:30,23:30-23:45,23:45-00:00,Baseload,Peakload
2025-10-01,102.44,92.1,85.9,85.27,89.85,85.91,84.9,83.95,85.29,84.88,84.43,84.43,87.24,87.21,88.41,89.83,86.16,88.91,86.29,88.73,84.16,90.65,97.5,108.65,97.03,117.49,133.24,152.09,160.99,181.52,180.28,170.58,200.29,143.39,117.52,95.27,139.51,105.03,93.68,84.15,101.95,93.08,81.23,68.32,83.52,72.08,65.31,62.17,68.21,65.22,65.44,65.22,65.6,67.72,69.44,70.84,64.49,70.25,74.63,81.14,65.3,74.63,88.04,97.05,64.06,89.55,103.11,106.27,97.25,115.9,145.02,195.31,146.98,200.04,285,380.99,408.57,376.4,321.94,253.15,218.03,155.25,126.85,108.02,130.69,121.41,102.99,97.09,108.84,101.51,95.35,88.34,94.56,91.55,91.1,85.35,116.59,126.03
2025-10-02,99.58,91.1,86.09,86.45,94.41,90.41,84.59,82.49,86.38,84.72,86.13,88.52,89.58,88.56,88.56,87.25,88.06,90.56,92.09,92.42,85.43,89.83,96.57,112.07,94.17,117.79,132.83,166.93,177.16,198.61,187.78,164.11,188.91,151.92,115.33,99.79,123.31,112.83,92.02,81.41,101.97,99.99,86.08,77.92,91.76,83.31,72.08,66,70.24,64.35,64.44,64.03,57.94,60.39,61.27,62.38,61.7,66.34,74.63,82.5,62.11,74.84,86.82,97.4,73.43,84.68,99.31,110.66,89.91,96.51,110.41,174.07,118.37,142.61,178.71,232.3,219.49,202.11,162.99,123.06,136.15,110.39,98.48,94.91,98.46,93.19,84.2,91.19,101.75,102.98,95.44,82.99,105.12,93.4,74.94,54.92,103.07,103.64
2025-10-03,97.05,89.28,82.86,74.44,86.83,81.78,74.73,64.51,82.55,67.13,69.02,67.63,61.83,77.49,79.56,75.62,71.39,72.15,79.64,81.2,68.66,73.78,82.28,86.94,88.69,91.08,103.73,91.03,96.98,104.03,97.68,105.21,123.06,114.27,103.7,76.14,108.56,95.46,77.56,56.1,90.02,63.21,46.04,40.71,46.9,42.88,40.5,31.69,32.47,27.25,24.61,21.06,18.31,14.23,14.68,18.77,10.52,23.7,30.62,39.93,32.76,41.18,57.77,66.23,41.11,49.45,72.44,86.99,55.01,78.49,102.61,127.95,114.05,119.08,127.73,122.99,124.25,115.02,99.92,96.93,99.84,79.75,56.03,54.13,57.58,41.77,35.3,16.19,36.18,20.69,21.17,20.05,23.48,9.46,7.31,2.59,66.39,65.94
2025-10-04,2.13,0.9,-0.05,-0.08,0,-0.01,-0.01,-0.02,-0.01,-0.01,-0.04,-0.11,-0.07,-0.09,-0.1,-0.17,-0.89,-0.97,-1.03,-1.58,-1.51,-1.98,-1.98,-1.62,-2.14,-2.01,-1.48,-2.01,-0.25,-0.81,-1,-1.04,-0.7,-0.09,-0.08,-0.44,1.05,1.06,0.23,0.23,1.44,1.17,0.98,0.58,1.11,0.27,0.1,0.1,0.13,0,0,0.16,2.11,2.11,2.1,2.11,1.15,1.33,1.4,1.62,0.24,0.76,1.07,1.23,1.22,1.4,1.57,1.81,1.13,1.42,1.57,1.65,2.13,2.08,2.27,2.3,2.48,2.8,4.02,3.72,2.17,2.09,2,1.66,1.42,1.43,1.38,1.27,1.06,0.35,0.41,0.76,-0.01,-0.01,-0.08,-0.33,0.56,1.21
2025-10-05,0,0,-0.06,-0.59,0.21,-0.02,-0.02,-0.02,-0.08,-0.08,-0.09,-0.09,-0.09,-0.1,-0.11,-0.13,-0.11,-0.12,-0.12,-0.12,-0.1,-0.09,-0.06,-0.06,-0.08,-0.03,0,0,0,0.36,0.56,1.2,0.01,0.61,0.54,0.88,1.84,1.52,1.87,1.98,0.55,1.15,1.48,2.02,2.53,2.31,2.43,2.46,1.84,2.01,2.11,1.9,1.55,1.58,1.64,1.76,0.2,0.88,1.28,1.51,2.28,2.34,2.44,2.46,2.9,3.09,3.19,3.7,3.81,4.06,4.03,6.52,5.37,10.99,19.9,28.04,21.24,26.68,42.83,49.4,33.93,24.55,13.64,7.08,7.81,5.18,4.75,4.27,5.64,4.88,5.84,4.34,4.88,4.1,4,3.36,4.44,5.99
2025-10-06,4.09,16.84,15.67,12.18,13.82,10.58,9.11,6.69,6.96,8.7,10.57,10.17,10.49,10.52,11.03,10.85,11.02,18.12,17.86,20,8.01,9.9,22.79,49.89,18.43,76.12,78.68,101.2,90.04,105.36,109.65,119.12,122.85,127.95,120.84,112.51,129.98,118.4,117.04,107.75,114.72,104.83,95.25,87.4,98.57,92.77,84.9,81.03,82.58,86.69,86.13,91.23,84.08,88.07,83.89,82.42,82.8,89.61,99.04,96,89.49,92.05,95.71,101.02,86.47,97.89,110.72,123.24,94.81,113.69,122.65,153.55,114.17,119.16,148.69,192.14,170,176.49,170.03,161.84,156.98,131.14,125.91,120.84,128.04,123.97,115.69,113.26,135.25,114.59,115.2,109.62,112.33,105.07,103.67,100.96,85.83,110.48
2025-10-07,105.48,102.6,99.05,93.88,99.99,94.81,92.67,88.44,91.25,89.35,89.45,89.22,88.68,88.59,89.46,91.47,86.91,88.8,95.02,101.14,86.96,93.12,99.04,107.85,106.76,125.06,141.16,165.67,148.91,207.95,270.06,288.13,307.88,300.02,288.13,254.56,293.59,249.56,167.89,137.57,197.36,164.04,137.98,119.16,153.63,135.78,118.74,111.3,123,109.37,105.9,105.44,112.17,105.71,104.75,102.01,103.06,104.74,105.87,107.6,101.19,105.64,116.05,129.32,103.93,110.58,126.96,146.42,114.99,128.79,155.41,206.7,147.19,154.05,219.8,286.05,252.17,220.47,196.53,180.03,177.45,158,130.26,116.29,146.24,128.19,112.11,103.34,115.63,111.18,105.46,94.82,107.16,97.85,93.03,89.59,137.74,158.94
2025-10-08,101.33,91.06,91.13,88.85,91.48,88.72,86.98,85.16,88.85,87.78,86.65,85.56,86.63,86.57,86.64,86.71,85.32,87.39,90.81,93.72,86.63,92.9,99.49,108.91,92.66,113.45,122.52,138.1,130.05,151.31,168.56,171.02,203.1,175.04,151.1,135.35,173.82,140.79,119.66,105.89,142.41,121.57,107.32,101.92,122.77,104.21,97.33,88.04,94.68,90.81,88.54,88.35,90.55,89.86,88.94,87.06,85.06,87.35,89.58,98.19,88.62,93.23,100.88,113.04,92.88,101.9,127.03,146.68,102.76,123.07,155,215.82,135.48,147.47,203.97,247.11,235.2,204.22,180.27,174.74,170.22,149.85,128.09,118.26,128.85,117.93,109.28,102.83,114.48,113.72,106.22,97.63,105.67,99.4,95.12,89.68,117.28,128.31
2025-10-09,108.93,99.71,90.62,88.48,91.44,93.04,92.01,92.66,95.72,92.02,91.96,92.07,93.07,89.63,89.71,89.79,86.68,88.77,92.23,102.09,87.4,91.8,104.3,119.56,103.9,121.43,132.32,144.14,127.44,146.38,156.15,153.34,171.12,153.01,143.81,130.6,166.42,134.4,123.01,107.19,130.45,113.89,102.32,91.05,106.48,102.12,91.62,87.46,100.21,92,87.73,83.44,88.76,88,84.44,71.38,77.57,83.53,83.87,67.03,63.85,63.58,63.38,60.17,66.72,64.06,64.17,52.99,76.6,65.94,66.21,50.52,83.3,67.49,67.74,67.77,66.99,66.86,66.81,79.85,50.41,62.81,61.91,75.51,43.58,56.49,55.99,51.92,54.39,49.4,48.38,46.14,45.96,44.24,42.05,38.44,88.17,89.33
2025-10-10,92.63,44.16,41.93,39.68,48.38,46.79,45.74,41.62,51.72,49,49,45.34,49.75,44.42,43.54,41.34,44.32,41.71,40.8,40.51,44.14,45.03,49.97,38.65,77.95,64.43,63.84,68.35,77.18,90.29,92.7,95.4,97.53,97.19,92.69,92.63,77.12,74.61,74.1,73.65,63.66,66.04,65.64,63.34,56.74,59.91,59.24,58.17,55.01,54.19,53.51,53.12,55.3,52.28,52.37,51.01,48.82,48.67,51.48,51.59,51.55,51.59,51.76,42.9,70.26,59.87,61.24,44.83,82.48,67.01,66.69,86.09,92.61,92.64,92.66,92.65,92.69,92.68,92.67,92.64,92.6,72.95,66.8,66.47,66.56,66.28,66.02,65.42,65.11,64.56,64.11,63.34,62.89,61.27,60,59.9,63.46,68.27
