Date,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00,Baseload,Peakload
2025-01-24,24.17,23.76,23.61,23.54,23.42,24.71,27.99,56.67,68.93,54.61,47.18,42.17,36.78,35.8,31.02,28.7,28.42,25.88,24.34,22.21,21.28,17.3,7.16,3.89,30.15,37.17
2025-01-25,2.82,2.23,1.02,0.74,0.68,0.41,1.04,2.13,2.85,3.28,10.09,16.84,18.66,18.35,18.31,18.36,19.08,19.99,18.9,18.23,14.13,3.5,1.34,0.05,8.88,15.25
2025-01-26,1.07,1.07,1.24,1.34,1.97,6.36,16.23,18.61,18.88,19.55,20.03,20.43,21.49,21.87,23.55,29.84,33.54,40.01,43.56,43.42,41,43.94,37.59,27.35,22.25,28.01
2025-01-27,39.42,34.85,26.85,13.88,9.71,20.86,34.03,61.75,70.8,56.84,46.22,39.95,36.76,38.01,44.88,47.33,46.16,45.94,46.22,44.45,36.82,33.22,30.17,23.95,38.71,46.96
2025-01-28,22.28,22.07,22.3,22.78,23.11,27.59,32.02,70.01,76.82,81.68,87.03,94.37,88.14,96.88,109.44,105.56,126.5,125.61,117.01,105.08,79.75,65.46,49.83,41.37,70.53,101.18
2025-01-29,42.95,41.83,41.33,41.08,41.67,42.83,65.33,138.52,143.71,129.43,105.88,89.78,84.59,83.67,64.14,67.29,78.74,83.87,78.99,67.65,54.09,33.11,27,23.87,69.64,89.81
2025-01-30,28.83,26.88,25.15,25.2,25.18,31.07,41.47,61.21,78.62,78.09,70.15,56.78,63.14,54.79,64.43,61.97,74.22,98.62,78.39,76.03,52.46,37.97,35.48,31.85,53.25,71.27
2025-01-31,26.85,25.94,25.96,25.94,25.46,26.98,54.9,104.49,118.27,121.65,109.4,107.5,99.26,98.61,89.73,114.99,128.95,124.21,133.98,99.76,61.54,60.14,35.84,26.35,76.95,112.19
2025-02-01,27.66,26.56,26.57,26.28,25.93,27.01,28.05,32.8,39.64,70.14,65.72,61.68,57.97,57.57,56.34,67.32,86.09,99.09,101.35,91.06,81.11,80.74,53.25,38.15,55.34,71.16
2025-02-02,32.18,30.01,29.95,29.84,29.62,31.34,41.04,67.57,70.99,71.57,68.14,68.38,65.14,60.02,61.71,67.74,79.78,88.09,92.49,99.36,86.8,80.49,52.08,40.3,60.19,74.45
2025-02-03,42.14,35.46,35.49,35.15,37.87,51.56,102.46,148.86,164.29,149.64,149.67,126.22,117.31,115.23,124.31,145.97,169.78,214.84,201.17,200.84,164.21,129.96,108.14,53.07,117.65,156.61
2025-02-04,53.71,52.89,52.06,52.69,52.4,53.77,93.47,164.69,205.98,158.41,133.89,106.42,94.05,72.38,56.39,55.96,39.57,33.68,31.56,29.71,28.13,26.88,23.84,22.62,70.63,84.83
